emw,lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,nstar,comment
4.85,-72.5,41.5,0,1574,1,1,0,0,0,0.5,1.94,J94|4.85mwd
4.85,-72.5,41.5,0,1584,1,1,0,0,0,0.5,1.94,J94|4.85mwd
4.85,-72.6,41.5,0,1592,1,1,0,0,0,0.5,1.94,J94|4.85mwd
2.68,-70.8,42.8,0,1643,3,15,12,0,0,0.5,1.94,NCE|io=04.0
4.85,-73,45.5,0,1661,2,11,12,0,0,0.5,1.94,J94|4.85mwd
6.67,-70.1,47.6,0,1663,2,5,22,30,0,0.5,1.94,J94|6.67mwd
2.68,-71.22,46.82,0,1665,10,15,21,30,0,0.5,1.94,NCE|io=04.0
4.01,-70.5,47.1,0,1668,4,13,13,0,0,0.5,1.94,NCE|io=06.0
2.65,-71.5,42.5,0,1668,12,19,0,0,0,0.515,1.886,SSC|TMP00043
2.68,-69.7,48.15,0,1672,2,1,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-73.5,41.1,0,1677,12,13,0,0,0,0.5,1.94,NCE|io=04.0
2.65,-73.5,41.1,0,1678,2,13,0,0,0,0.515,1.886,SSC|TMP00049
2.68,-70.8,42.7,0,1685,2,18,0,0,0,0.5,1.94,NCE|io=04.0
2.65,-90.3,34.9,0,1699,12,25,19,0,0,0.515,1.886,SSC|TMP00070
2.68,-73.5,41.4,0,1702,1,1,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-71.1,42.4,0,1705,6,27,0,0,0,0.5,1.94,NCE|io=04.0
2.65,-75.1,40,0,1724,8,16,9,30,0,0.515,1.886,SSC|TMP00080
4.77,-70.8,42.8,0,1727,11,10,3,40,0,0.25,1.18,J94|4.77mwd
2.68,-70.6,42.8,0,1728,5,16,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1728,5,24,2,40,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1728,7,30,15,0,0,0.5,1.94,NCE|io=04.0
3.35,-70.6,42.8,0,1729,2,10,14,0,0,0.5,1.94,NCE|io=05.0
2.68,-70.6,42.8,0,1729,3,30,19,0,0,0.5,1.94,NCE|io=04.0
2.68,-73.5,41.4,0,1729,8,6,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1729,9,19,20,30,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1729,10,10,21,30,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1729,11,25,13,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1729,12,9,1,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1730,2,20,1,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1730,3,9,6,45,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1730,4,24,1,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1730,12,7,1,20,0,0.5,1.94,NCE|io=04.0
3.27,-70.8,42.8,0,1730,12,24,3,30,0,0.363,1.371,SSC|TMP00162
2.68,-70.6,42.8,0,1731,1,13,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1731,7,16,10,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1731,10,13,4,0,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1732,2,19,0,0,0,0.5,1.94,NCE|io=04.0
6.25,-73.6,45.5,0,1732,9,16,16,0,0,0.25,1.18,J94|6.25mwd
3.25,-70.6,42.8,0,1734,11,23,5,0,0,0.22,1.137,NCE|lnfa=08.2
2.68,-70.6,42.8,0,1736,2,13,22,45,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1736,10,12,6,30,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1736,11,23,7,0,0,0.5,1.94,NCE|io=04.0
2.68,-71,42.4,0,1737,2,17,21,30,0,0.5,1.94,NCE|io=04.0
2.68,-70.6,42.8,0,1737,9,20,15,20,0,0.5,1.94,NCE|io=04.0
