DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2013/01/09 23:35:06.79,38.0260,-77.9860,5.10,2.00,Md,9,121,,0.00,NEI,201301092061
2013/01/19 15:14:03.61,36.0120,-83.8288,17.46,2.10,Md,23,82,15,0.16,ET,
2013/02/16 07:44:25.59,43.0795,-74.1000,6.40,1.75,ML,13,100,0,0.08,LD,201302160744
2013/02/19 09:53:04.29,41.2380,-77.0555,10.75,2.25,ML,43,61,0,0.31,LD,201302190953
2013/03/07 23:12:06.11,42.5920,-74.1458,15.35,2.22,ML,22,105,0,0.12,LD,201303072312
2013/03/08 01:46:55.27,42.2455,-72.2595,1.33,1.00,ML,5,219,6,0.15,NE,
2013/03/10 07:33:56.04,42.3125,-72.2807,1.26,0.60,ML,5,191,7,0.01,NE,
2013/03/10 12:16:38.41,42.2533,-72.2607,1.21,0.50,ML,5,212,5,0.18,NE,
2013/03/11 09:27:52.67,42.2405,-72.2530,2.39,0.50,ML,4,221,4,0.18,NE,
2013/03/13 04:03:00.72,42.2403,-72.2612,2.37,0.90,Mc,4,22,4,3.00,NE,
2013/03/17 22:49:26.66,41.6575,-80.8947,5.00,2.11,ML,28,163,0,0.36,LD,201303172249
2013/03/25 18:34:36.16,36.0303,-83.8523,15.60,2.00,Md,18,102,14,0.17,ET,
2013/03/27 09:10:49.90,38.6680,-82.2160,15.00,2.50,Md,14,93,1,0.00,NEI,201303272007
2013/03/28 09:54:55.34,36.2753,-83.5095,8.56,1.30,Md,8,183,6,0.01,ET,
2013/03/31 14:01:24.03,38.6450,-80.8332,8.02,3.40,Md,20,69,37,0.48,ET,
2013/04/04 16:31:00.70,41.5030,-71.7450,5.00,1.80,ML,5,234,0,0.46,NEI,201304042018
2013/04/10 18:54:32.58,42.6790,-71.3367,0.00,2.00,Mb,10,125,0,0.60,NEI,201304102019
2013/04/18 14:15:20.00,40.9960,-74.3850,3.60,2.10,ML,12,82,0,0.92,NEI,201304182016
2013/04/21 01:01:00.75,43.4070,-78.3345,6.83,1.93,ML,14,103,0,0.17,LD,201304210101
2013/05/10 04:57:23.69,35.7590,-83.9113,21.66,2.50,Md,26,127,20,0.17,ET,
2013/05/15 11:01:48.22,37.9542,-78.0063,0.10,2.30,Md,10,156,11,0.27,ET,
2013/05/16 14:13:33.24,42.8187,-78.2457,9.85,1.38,ML,12,115,0,0.12,LD,201305161413
2013/06/23 02:33:20.50,35.7763,-83.7427,13.85,2.20,Md,24,108,8,0.09,ET,
2013/06/23 15:54:39.93,40.9035,-74.5105,2.00,2.11,ML,26,79,0,0.29,LD,201306231554
2013/07/01 07:48:44.37,41.7928,-81.3227,6.00,3.17,ML,42,179,0,0.32,LD,201307010748
2013/07/16 03:58:10.43,39.8485,-77.5933,5.00,2.12,ML,76,29,0,0.51,LD,201307160358
