EVENTID  ,REPORTER ,STA  ,LAT     ,LON      ,ELEV   ,CHN,DIST  ,BAZ  ,ISCPHASE,REPPHASE,DATE      ,TIME       ,RES  ,TDEF,AMPLITUDE,PER  ,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,AUTHOR   ,TYPE  ,MAG 
   870589,ISC      ,SCP  , 40.7950, -77.8650,  352.0,???,  0.48, 31.0,P*      ,P/PKP   ,1964-02-13,19:46:47.05, -4.1,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   870589,ISC      ,BR-  , 39.9242, -78.8447,  665.0,???,  0.69,226.0,P*      ,P/PKP   ,1964-02-13,19:46:55.01,  0.0,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   870589,ISC      ,MRG  , 39.6331, -79.9544,  281.0,???,  1.55,241.0,PN      ,P/PKP   ,1964-02-13,19:47:10.04,  1.3,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   870589,ISC      ,GEO  , 38.9000, -77.0667,   29.0,???,  1.73,149.0,PN      ,P/PKP   ,1964-02-13,19:47:09.00, -2.7,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   870589,ISC      ,PAL  , 41.0055, -73.9079,   66.0,???,  3.32, 78.0,PN      ,P/PKP   ,1964-02-13,19:47:35.00,  0.7,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   870589,ISC      ,BL-  , 37.7989, -81.3100,  610.0,???,  3.55,224.0,PN      ,P/PKP   ,1964-02-13,19:47:38.02,  0.6,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   870589,ISC      ,BLA  , 37.2113, -80.4205,  634.0,???,  3.63,209.0,PN      ,P/PKP   ,1964-02-13,19:47:44.04,  5.7,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   870589,ISC      ,AAM  , 42.3012, -83.6567,  172.0,???,  4.52,297.0,PN      ,P/PKP   ,1964-02-13,19:47:52.00,  0.5,True,         ,     ,ISC      ,1964-02-13,19:46:42   , 40.4000, -78.2000, 15.0,    USCGS,mb    , 5.2
   867673,ISC      ,SCP  , 40.7950, -77.8650,  352.0,???,  1.21,301.0,PN      ,P/PKP   ,1964-05-12,06:45:33.09, -3.8,True,         ,     ,ISC      ,1964-05-12,06:45:17   , 40.2000, -76.5000, 33.0,    USCGS,mb    , 4.5
   867673,ISC      ,GEO  , 38.9000, -77.0667,   29.0,???,  1.37,199.0,PN      ,P/PKP   ,1964-05-12,06:45:37.08, -2.2,True,         ,     ,ISC      ,1964-05-12,06:45:17   , 40.2000, -76.5000, 33.0,    USCGS,mb    , 4.5
