DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1975/07/19 20:59:32.20,41.4300,-73.7880,3.00,2.30,Unk,11,,,0.00,PAL,197507194012
1975/10/24 07:43:12.40,41.5930,-73.9330,3.00,2.20,Unk,5,,,0.00,PAL,197510244004
1976/03/11 21:07:20.60,40.9980,-74.3710,5.00,2.40,Unk,11,,,0.00,PAL,197603114015
1976/04/13 15:39:12.90,40.8000,-74.0300,0.00,,Unk,13,,,0.00,PAS,197604134010
1976/04/24 10:22:22.10,41.4600,-72.4900,0.00,,Unk,14,,,0.00,PGC,197604244008
1976/05/10 01:34:20.50,41.5400,-71.0100,0.00,,Unk,17,,,0.00,PGC,197605104001
1976/07/03 20:53:46.50,37.2170,-81.0950,5.00,,Unk,8,,,0.00,NEI,197607034011
1977/02/27 20:05:34.60,37.8970,-78.6280,5.00,2.40,Unk,6,,,0.00,NEI,197702274011
1977/09/25 06:22:37.80,36.0040,-82.6780,5.00,2.50,ML,7,143,215,0.20,SE,
1977/12/25 15:35:53.50,43.1960,-71.6920,0.00,,Unk,41,,,0.00,WES,197712254009
1978/01/28 23:13:23.40,37.2280,-80.7470,4.50,1.60,Mc,6,243,11,0.10,SE,
1978/02/25 03:53:27.20,36.1520,-79.3180,21.10,2.20,ML,9,162,35,0.30,SE,
1978/03/05 07:53:25.60,41.3520,-74.1460,5.00,,Unk,5,,,0.00,PAL,197803054008
1978/03/05 23:21:02.00,43.4800,-79.7500,18.00,,Unk,3,,,0.00,PGC,197803054019
1978/03/22 15:52:26.70,36.2010,-81.7300,1.00,,Unk,21,,,0.00,BLA,197803224024
1978/03/31 14:27:57.00,43.1000,-71.6290,0.00,,Unk,18,,,0.00,WES,197803314012
1978/04/02 02:20:00.00,35.5600,-81.1900,,1.40,Mc,,,,,SE,
1978/04/26 19:30:23.30,39.6970,-78.2370,15.00,,Unk,19,,,0.00,NEI,197804264017
1978/05/10 04:19:09.60,37.2130,-80.8300,26.20,0.30,Mc,6,268,12,0.10,SE,
1978/05/18 01:29:37.90,41.0220,-74.3350,6.00,,Unk,3,,,0.00,PAL,197805184002
