EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
726330,ISC      ,7/19/1975,59:29.6,41.3997,-73.8089,3,TRUE  ,PAL;NEIS ,M     ,2.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
722677,OTT      ,10/8/1975,9:00:01,43.5,-78.48,     ,      ,OTT      ,mL    ,2,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
723228,ISC      ,10/24/1975,43:09.2,41.486,-73.8419,3,TRUE  ,PAL;NEIS ,M     ,2.2,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
716489,ISC      ,3/11/1976,07:16.7,40.9983,-74.3697,5,TRUE  ,PAL;NEIS ,M     ,2.4,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
715861,ISC      ,4/24/1976,22:21.1,41.44,-72.4844,8.1,TRUE  ,APT;NEIS ,M     ,2.2,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
702930,NEIS     ,2/27/1977,05:34.6,37.897,-78.628,5,      ,BLA;NEIS ,MB    ,2.4,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
684610,ISC      ,3/5/1978,53:24.3,41.3907,-74.1807,5,TRUE  ,PAL;NEIS ,M     ,2.1,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
684638,NEIS     ,3/5/1978,23:21:02,43.48,-79.75,18,      ,OTT;NEIS ,M     ,2.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
682410,NEIS     ,5/18/1978,29:37.9,41.022,-74.335,6,      ,PAL;NEIS ,M     ,1.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
681652,ISC      ,6/30/1978,39:48.6,41.089,-74.2134,12.6,      ,PAL;NEIS ,M     ,2.2,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
676092,ISC      ,9/1/1978,33:42.7,42.4953,-71.4663,6.4,      ,WES;NEIS ,M     ,2,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
654900,NEIS     ,12/30/1979,15:11.6,41.14,-73.69,5,      ,WES;NEIS ,M     ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
648151,ISC      ,4/22/1980,14:06.3,36.5023,-80.6653,5,TRUE  ,BLA;NEIS ,M     ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
642730,ISC      ,7/31/1980,26:58.9,38.015,-84.1291,13,TRUE  ,NEIS     ,M     ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
640577,ISC      ,8/25/1980,41:37.5,38.1926,-83.7651,13,TRUE  ,NEIS     ,M     ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
635895,ISC      ,11/23/1980,39:31.4,42.6335,-71.3849,3.1,      ,WES;NEIS ,M     ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
634711,NEIS     ,12/30/1980,07:08.1,38.2,-83.91,11,      ,TEIC     ,ML    ,1.6,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
